propension_12m,PC1,PC2,PC3
1,-1.3225134696649639,-1.4461261515608435,-4.182605552844618
0,-0.012079153485528352,-1.7856572397882355,-4.063345689123128
0,1.7484197795012726,-0.8440149584965132,0.493729234681016
0,-1.127121659709198,2.1989088540425286,0.48284916947706
1,-1.5556753009421826,-0.9034215090106376,1.0707229314943623
0,-2.6528398020538613,-0.9570069789754532,0.7852812950135424
0,1.124754653476625,2.1054175505486157,0.1900775722330456
1,2.022808241899124,-0.8566704050937489,0.3059713596740239
0,-1.5858821686416746,-0.7458921176113862,0.5656961497962048
0,1.6963956143322205,-0.9826251143800847,0.25280192791033906
0,-0.6083736942159457,2.3071074702879306,0.6555802346282881
1,-1.578617416509195,-1.0402469821185127,-1.2566431178632764
0,0.9838451188762962,-0.8920644375156447,0.5849325016878991
0,1.989147105269793,-0.8605413210972822,0.3183692949913431
0,-1.1619404001166165,-0.7697249677172354,1.0990964926234088
0,1.0568340183749305,-1.0561725184472164,0.4883626989394038
0,-1.8237987752570297,2.0912322616367254,0.9132176183157776
1,-0.16684516739124017,-0.7118144949672679,0.6625214787518383
0,1.6588007270594873,2.0827478429175126,0.09708545997895847
1,0.5887219364792271,-1.6723579770991357,-4.197934132366436
1,1.0568340183749305,-1.0561725184472164,0.4883626989394038
0,1.6627344777028892,-0.9864960303836179,0.2651998632276583
1,-1.3674516220562773,2.1720861532089373,-0.03110343523016381
1,1.3425868382189898,1.8695475843801739,-0.13323275672160315
0,-1.7145154948939594,1.317571267508247,-4.45086744933622
0,-0.24575157144257392,-1.294383791836016,0.7947333913779758
0,1.6963956143322205,-0.9826251143800847,0.25280192791033906
1,0.9470818016534577,2.82417020014002,-0.11049492069901522
0,0.5753793668378894,-1.0231197932456786,0.8390825783187496
0,0.508508184189685,-0.7886705991495893,0.6174564461748412
1,1.7198580122351448,-0.8915086491255481,0.4175527775298967
0,1.955485968640462,-0.8644122371008154,0.33076723030866234
0,-1.2629238100046096,-0.7813377157278352,1.1362902985753662
0,-0.49324978001642994,-0.7769110113342054,0.9565126391000451
0,0.6845921491565723,-1.477438111489702,-1.6929625793350043
1,1.9840477359065896,-0.8169185464717805,0.40694368745978154
0,-0.816208138653495,-0.7414654132177564,0.3859184903208832
0,-1.9173941655717817,-0.8282240522722203,0.6011011105009584
0,-2.527316150706348,-0.9310737094254669,1.3248882028735989
0,-2.8155355291574864,-0.9685531390206347,1.1539459829695746
0,-3.0429505424728442,-1.673907188609454,-3.6559570846536396
0,0.37714091197242217,1.6851946560927662,-1.766296025082413
0,-0.03472052669371889,-1.1019495684395473,0.5095960738280205
1,1.8545025587524688,-0.8760249851114151,0.36796103626061993
0,-0.9435098535312192,2.148253303103088,0.5022969075970404
0,-1.8005142857511465,2.20636860885064,0.02469487107196567
0,-3.155521404159144,1.872896243012629,0.7794508011367575
1,-1.6481050725371336,-0.7972567242439543,0.5019176279624048
1,-2.7750421475683824,1.8890889627198897,0.8130853198212611
1,-1.1899118204814259,2.275771385723097,0.40227018728867836
1,1.5954122044442272,-0.9942378623906843,0.2899957338622967
1,-0.1203747235258388,2.03764473497525,-0.009223014051638662
0,-3.79309677297959,-1.7274067014131873,-3.2410069657534564
1,1.7922796548570101,-0.9273895917439833,0.30418251442681987
0,1.4169077825711653,-0.9263468931573472,0.5291341953857696
1,-0.34764106732534855,1.5716728632683532,-4.459277594800203
0,-1.2502354226465746,-0.5356067558285572,1.1142288806653273
0,1.8259407914863413,-0.92351867574045,0.29178457910950073
1,1.230239070884789,-1.0804407130550517,0.33779862988436943
1,-1.046736725695609,-0.8121845998679907,0.3841296450736792
0,-1.8223878199386687,-1.3681543333282211,-3.706761972069973
0,-1.7163919660940061,-0.6334223545035242,1.1992255826393576
1,-1.8529358143416403,2.111107516401429,0.4730801086981855
1,-0.8054421430503195,-0.956938100781896,0.22557016573858804
0,-4.312668814211473,-0.8557580990270781,0.8951042571189838
0,0.11987265272732243,-0.9659899150684931,0.5005084925773562
1,1.494428794556234,-1.0058506104012843,0.32718953981425425
1,-1.7412426455684336,-1.3711358180481492,-3.720018339905488
0,-2.1095596100428033,-0.8953460341100629,1.1876524818648928
0,0.016482613780599457,-1.7381635491592007,-3.987169231972009
1,-1.7050587136140616,-0.9771221803808002,1.0556777184116446
1,0.3212722156265396,-0.8145372807341573,0.40932042031885935
0,-3.7611512348280103,-1.1991700274969126,-0.8502153156195695
0,2.0564693785284547,-0.8527994890902157,0.29357342435670475
0,-1.7999470288743775,2.0781414705375036,0.04149533142654736
0,1.933189189457339,2.070092396320277,-0.09067241502803346
1,-0.9216132656205466,-1.3915266691542048,-4.00862435904322
0,-2.4543272512077143,-1.0951817903570384,1.2283184001251035
1,1.8607675468354736,2.1059733389387123,0.022697848075043388
0,-2.5512891352890996,-1.07362136927799,0.7648879494161664
1,1.0619333877381338,-1.099795293072718,0.3997883064709654
0,-0.6375258083833917,-0.8333762644104713,1.2000536256607799
1,-1.4221085979814538,-0.8111419012813547,0.6090813260326289
0,-1.5704141670967373,-0.9616385163666673,1.0060859771423678
