propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
0,1,37,1,3,1,5.0,1.0,1.0
0,1,44,9,6,0,7.0,1.0,1.0
1,1,29,9,6,0,5.0,1.0,1.0
0,2,19,9,6,1,6.0,1.0,2.0
1,2,22,9,2,2,3.0,1.0,2.0
0,1,61,9,2,4,3.0,1.0,1.0
0,1,24,9,2,1,4.0,1.0,1.0
1,1,22,9,5,1,6.0,1.0,1.0
0,1,24,1,6,0,7.0,1.0,1.0
0,1,32,9,6,0,5.0,1.0,1.0
0,1,64,9,6,1,6.0,1.0,1.0
0,1,55,9,2,2,7.0,1.0,1.0
1,1,24,5,5,0,5.0,1.0,1.0
0,1,62,9,4,3,7.0,1.0,1.0
0,1,45,9,5,1,7.0,1.0,1.0
1,2,22,9,1,2,3.0,1.0,2.0
1,1,19,9,6,0,5.0,1.0,1.0
1,1,39,9,5,5,5.0,1.0,1.0
1,2,30,9,6,0,5.0,2.0,1.0
0,1,57,9,3,3,4.0,1.0,1.0
0,2,56,1,5,4,5.0,1.0,2.0
1,1,33,9,2,1,3.0,1.0,1.0
0,1,30,9,2,2,5.0,1.0,1.0
1,1,21,9,5,2,3.0,1.0,1.0
1,1,58,9,3,2,5.0,1.0,1.0
0,1,62,1,2,2,3.0,1.0,1.0
0,1,65,5,5,3,3.0,1.0,1.0
0,2,23,9,1,0,6.0,1.0,2.0
0,1,29,9,6,0,7.0,1.0,1.0
1,1,51,9,3,2,5.0,1.0,1.0
0,2,22,9,6,0,5.0,1.0,2.0
0,1,29,9,3,2,7.0,1.0,1.0
0,1,26,9,6,0,6.0,1.0,1.0
0,1,62,9,6,1,4.0,1.0,1.0
1,2,29,9,6,0,7.0,1.0,2.0
1,1,29,5,2,4,5.0,1.0,1.0
0,1,59,9,6,2,4.0,1.0,1.0
1,2,29,5,2,2,4.0,1.0,2.0
1,1,30,9,6,1,3.0,1.0,1.0
0,1,49,9,3,3,3.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
0,2,23,9,2,2,5.0,1.0,2.0
0,1,46,9,6,1,5.0,1.0,1.0
1,1,22,9,6,0,6.0,1.0,1.0
0,1,21,9,6,0,7.0,1.0,1.0
1,2,32,9,5,2,6.0,3.0,2.0
1,2,20,9,6,1,5.0,1.0,2.0
0,1,47,9,2,1,4.0,1.0,1.0
1,1,35,9,3,3,3.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,1.0
1,1,23,1,6,0,6.0,1.0,1.0
0,1,41,9,5,0,8.0,1.0,1.0
1,1,20,9,6,0,7.0,1.0,1.0
0,1,31,9,1,1,5.0,1.0,1.0
1,1,23,9,6,0,6.0,1.0,1.0
1,2,26,9,1,1,6.0,2.0,2.0
0,1,58,9,3,3,3.0,1.0,1.0
1,1,40,9,3,1,5.0,1.0,1.0
1,1,26,9,1,1,6.0,1.0,1.0
1,2,31,9,2,2,6.0,1.0,2.0
1,1,27,9,6,0,7.0,1.0,1.0
1,2,33,9,3,2,6.0,1.0,2.0
0,1,64,9,4,2,8.0,1.0,1.0
1,1,26,1,1,0,5.0,1.0,1.0
1,1,28,9,2,0,5.0,1.0,1.0
0,2,29,9,5,2,7.0,1.0,2.0
0,2,37,9,3,2,7.0,1.0,2.0
0,2,32,5,2,2,6.0,1.0,2.0
0,2,23,9,2,0,6.0,2.0,2.0
0,1,65,9,2,2,3.0,1.0,1.0
0,1,32,9,2,1,5.0,1.0,1.0
0,1,30,9,6,1,5.0,1.0,1.0
0,1,60,2,2,1,7.0,1.0,1.0
0,1,34,9,6,0,7.0,1.0,1.0
0,1,62,9,5,2,7.0,1.0,2.0
0,1,37,9,1,1,4.0,1.0,1.0
1,1,39,9,3,3,5.0,1.0,1.0
0,2,29,9,6,0,8.0,1.0,2.0
1,1,20,9,6,0,5.0,1.0,1.0
1,1,34,9,3,2,6.0,1.0,1.0
1,1,24,9,3,0,7.0,1.0,2.0
1,1,24,9,6,0,5.0,1.0,1.0
0,1,43,9,5,1,5.0,1.0,1.0
0,2,18,9,6,0,5.0,1.0,2.0
1,1,21,9,6,0,4.0,1.0,1.0
0,2,36,9,2,1,8.0,1.0,2.0
0,1,25,9,6,0,5.0,3.0,1.0
1,1,33,9,5,1,5.0,1.0,1.0
0,1,46,9,3,4,3.0,1.0,1.0
1,1,22,9,6,0,4.0,1.0,1.0
1,1,28,9,6,1,5.0,1.0,1.0
1,1,28,9,6,0,7.0,1.0,1.0
0,1,25,9,6,0,5.0,1.0,1.0
1,2,22,9,5,0,6.0,1.0,2.0
1,1,27,9,6,0,8.0,1.0,1.0
0,1,65,9,2,3,4.0,1.0,1.0
1,1,20,9,6,0,7.0,1.0,1.0
1,1,20,9,6,0,5.0,1.0,1.0
1,2,32,9,3,0,6.0,1.0,2.0
0,1,55,9,2,2,5.0,1.0,1.0
0,2,28,9,6,2,7.0,1.0,2.0
0,2,34,9,5,2,4.0,1.0,2.0
1,1,30,9,2,2,6.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,43,9,5,2,4.0,1.0,1.0
0,1,62,9,3,4,3.0,1.0,1.0
0,1,19,9,1,0,4.0,1.0,1.0
0,2,40,9,3,0,8.0,1.0,2.0
1,2,25,5,6,1,6.0,1.0,2.0
0,2,29,9,6,0,8.0,1.0,2.0
1,1,23,9,6,0,5.0,1.0,1.0
1,2,33,5,6,0,6.0,3.0,2.0
0,1,44,9,2,3,3.0,1.0,1.0
1,2,39,9,2,3,4.0,1.0,2.0
0,1,54,9,5,1,5.0,1.0,1.0
0,2,36,1,2,2,6.0,1.0,2.0
1,1,24,9,1,0,6.0,1.0,1.0
0,2,60,9,5,2,3.0,1.0,2.0
0,1,38,9,5,0,3.0,1.0,1.0
1,2,27,9,6,0,5.0,1.0,2.0
0,2,51,1,4,8,1.0,1.0,2.0
0,1,39,9,6,0,5.0,1.0,1.0
0,2,19,9,6,1,6.0,1.0,2.0
0,2,19,9,6,0,5.0,1.0,2.0
0,1,27,1,6,1,6.0,1.0,1.0
0,2,56,9,5,3,6.0,1.0,2.0
1,2,45,5,2,4,3.0,1.0,2.0
0,2,23,9,2,1,5.0,1.0,2.0
0,1,31,9,6,1,4.0,1.0,1.0
0,1,24,5,6,0,4.0,1.0,1.0
1,2,22,5,2,0,5.0,1.0,2.0
0,1,25,9,6,0,7.0,1.0,1.0
0,2,50,5,3,0,5.0,1.0,2.0
0,2,38,9,6,1,3.0,1.0,2.0
0,2,35,5,6,0,3.0,1.0,2.0
0,2,40,9,5,2,8.0,1.0,2.0
0,1,52,1,5,2,3.0,1.0,1.0
0,1,62,5,5,4,1.0,1.0,1.0
0,2,41,9,6,0,8.0,1.0,2.0
0,2,40,9,5,3,1.0,1.0,2.0
1,1,20,9,6,0,7.0,1.0,1.0
0,1,58,9,5,6,3.0,1.0,1.0
0,1,31,9,6,0,6.0,1.0,1.0
1,2,18,9,1,1,4.0,1.0,2.0
1,1,32,9,3,4,5.0,1.0,1.0
0,1,33,9,6,0,6.0,1.0,1.0
1,1,31,9,2,1,7.0,1.0,1.0
1,1,25,1,6,0,6.0,1.0,1.0
0,1,42,1,2,2,6.0,1.0,1.0
0,2,26,9,1,1,5.0,1.0,2.0
0,1,30,9,6,0,6.0,2.0,1.0
0,1,30,9,3,1,5.0,1.0,1.0
1,1,27,1,3,3,7.0,1.0,1.0
0,1,50,9,2,1,6.0,1.0,1.0
0,1,30,9,2,3,6.0,1.0,1.0
0,1,39,9,5,0,4.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,24,9,5,0,7.0,1.0,1.0
0,2,60,9,6,0,4.0,1.0,2.0
1,2,20,9,5,0,5.0,1.0,2.0
1,1,30,9,5,1,6.0,1.0,1.0
1,1,36,5,1,3,5.0,1.0,1.0
0,1,33,9,1,2,4.0,1.0,1.0
0,1,23,9,2,1,4.0,1.0,1.0
1,1,30,9,6,0,7.0,1.0,1.0
0,1,50,9,5,2,7.0,1.0,1.0
0,1,54,1,6,6,4.0,1.0,1.0
1,1,24,9,6,0,4.0,1.0,1.0
1,1,46,9,6,2,3.0,1.0,1.0
0,1,43,1,3,3,3.0,1.0,1.0
1,1,35,9,2,1,5.0,1.0,1.0
1,1,31,9,2,0,4.0,1.0,1.0
0,1,57,5,6,0,7.0,1.0,1.0
1,1,18,9,6,0,6.0,1.0,1.0
0,1,27,5,2,3,5.0,1.0,1.0
0,1,42,9,5,2,5.0,1.0,1.0
0,2,21,9,6,0,7.0,1.0,2.0
0,1,30,5,6,0,6.0,1.0,1.0
0,1,35,5,2,2,8.0,1.0,1.0
1,1,39,9,6,0,7.0,1.0,1.0
0,2,23,9,6,0,7.0,1.0,2.0
0,2,18,9,6,0,7.0,1.0,2.0
1,1,34,9,6,0,7.0,1.0,1.0
0,1,30,9,6,1,5.0,1.0,1.0
0,2,30,9,2,3,5.0,1.0,2.0
1,1,22,9,6,0,5.0,1.0,1.0
0,1,31,9,6,0,6.0,3.0,1.0
1,1,41,9,3,4,4.0,1.0,1.0
1,2,27,5,1,4,4.0,3.0,2.0
0,2,56,1,3,4,3.0,1.0,2.0
1,1,47,5,3,5,3.0,1.0,1.0
0,1,22,9,6,0,6.0,1.0,1.0
1,1,20,9,6,0,6.0,1.0,1.0
0,1,29,9,2,2,5.0,1.0,1.0
0,2,48,9,5,2,1.0,1.0,2.0
1,2,32,9,6,0,7.0,1.0,2.0
0,1,35,5,6,3,3.0,1.0,1.0
0,2,38,9,3,3,5.0,1.0,2.0
1,1,42,5,2,2,3.0,1.0,1.0
1,1,24,9,2,0,5.0,1.0,1.0
0,1,32,9,6,1,7.0,1.0,1.0
0,1,30,9,3,2,7.0,1.0,1.0
0,2,40,9,5,1,4.0,1.0,2.0
1,1,61,9,6,2,4.0,1.0,1.0
1,1,20,5,6,1,3.0,1.0,1.0
0,1,61,9,6,1,1.0,1.0,1.0
0,1,50,9,5,2,6.0,1.0,1.0
0,1,24,9,6,0,4.0,1.0,1.0
1,1,24,9,6,0,6.0,1.0,1.0
0,1,65,9,5,1,4.0,1.0,1.0
1,1,29,5,6,0,7.0,1.0,1.0
1,1,19,5,6,0,5.0,1.0,1.0
0,1,45,9,5,3,7.0,1.0,1.0
0,1,22,1,6,0,7.0,2.0,1.0
1,2,23,9,2,2,4.0,1.0,2.0
1,1,22,9,6,1,4.0,1.0,1.0
0,1,27,9,2,0,5.0,1.0,1.0
1,1,30,9,6,0,3.0,1.0,1.0
0,1,29,9,6,0,8.0,1.0,1.0
0,2,37,9,3,1,7.0,1.0,2.0
1,1,33,9,6,1,5.0,1.0,1.0
0,1,23,1,6,0,7.0,2.0,1.0
0,2,22,9,3,1,5.0,1.0,2.0
0,1,29,9,2,3,3.0,1.0,1.0
1,1,23,9,5,1,4.0,1.0,1.0
1,2,25,9,6,1,5.0,1.0,2.0
0,1,28,5,6,0,5.0,1.0,1.0
0,2,21,9,2,0,7.0,1.0,2.0
1,2,54,5,6,1,6.0,1.0,2.0
0,1,63,5,3,3,5.0,1.0,1.0
0,1,35,9,2,4,5.0,1.0,1.0
0,1,62,9,1,7,3.0,1.0,1.0
0,1,25,9,6,0,5.0,1.0,1.0
0,1,42,9,5,1,5.0,1.0,1.0
1,1,21,9,6,0,5.0,1.0,1.0
0,2,24,9,6,0,6.0,1.0,2.0
0,1,36,9,6,0,5.0,1.0,1.0
0,1,19,9,5,0,5.0,1.0,1.0
1,2,27,9,5,1,4.0,1.0,2.0
1,1,38,9,6,0,7.0,1.0,1.0
1,1,34,9,2,2,7.0,1.0,1.0
0,2,28,9,2,3,4.0,1.0,2.0
1,1,42,9,6,6,3.0,1.0,1.0
1,1,27,9,6,0,7.0,1.0,1.0
1,1,19,9,6,0,4.0,1.0,1.0
0,1,54,9,6,0,4.0,1.0,1.0
0,1,58,9,5,0,3.0,1.0,1.0
1,2,65,9,4,6,4.0,1.0,2.0
0,1,59,9,4,5,4.0,1.0,1.0
0,1,60,9,5,3,5.0,1.0,1.0
1,1,21,9,6,0,5.0,1.0,1.0
1,2,34,9,2,4,5.0,1.0,2.0
0,1,50,1,6,1,5.0,1.0,1.0
1,1,52,9,5,4,4.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
0,1,28,9,3,1,6.0,1.0,1.0
1,1,31,9,6,0,5.0,1.0,1.0
1,2,21,9,6,1,6.0,1.0,2.0
1,1,28,9,2,1,5.0,1.0,1.0
0,1,59,9,5,3,7.0,1.0,1.0
0,2,38,1,3,3,3.0,1.0,2.0
0,1,49,9,3,3,5.0,1.0,1.0
1,2,25,9,2,1,4.0,1.0,2.0
1,1,33,9,2,2,4.0,1.0,1.0
0,1,64,5,5,3,4.0,1.0,1.0
0,1,19,9,6,0,4.0,1.0,1.0
1,1,28,9,6,0,6.0,1.0,1.0
1,1,28,9,1,3,4.0,1.0,1.0
0,1,28,9,5,0,8.0,2.0,1.0
0,2,36,9,6,2,5.0,1.0,2.0
0,2,27,9,3,1,6.0,1.0,2.0
