directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
36431,2,1,2,1,1.0,0,,,,,1,Hombre,48,2304,1,Ninguno,Baja,5,0.0,0.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1.0,1.0,2,2,2,2,1,3.0,2,2,4,4
36432,2,1,2,0,,1,,,,,2,Mujer,48,2304,4,Basica secundaria,Media,5,0.0,1.0,1.0,0.0,Trabajando,Subsidiado,1.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,5,1.0,2.0,2,1,1,2,1,3.0,1,2,4,4
36456,1,1,1,0,,1,,,,,1,Hombre,54,2916,7,Universitaria,Superior,2,0.0,0.0,0.0,1.0,Trabajando,Contributivo,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,2,2,2,1,1,1.0,1,1,4,4
36510,1,1,1,1,1.0,0,,,,,2,Mujer,25,625,3,Basica primaria,Baja,2,0.0,0.0,0.0,1.0,Trabajando,Contributivo,1.0,0.0,4.0,3.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0,2,2,2,1,1,1.0,1,2,4,3
36513,1,1,1,1,1.0,0,8000.0,8.987196820661973,5.0,1000.0,1,Hombre,39,1521,6,Tecnica/tecnologica,Superior,2,1.0,1.0,1.0,1.0,Trabajando,Contributivo,0.0,0.0,2.0,2.0,1,1.0,1.0,1.0,1.0,3,4.0,1.0,4.0,1.0,MIL PESOS MCTE,,,1.0,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,9,2,2,1.0,1.0,1,1,1,1,1,1.0,2,2,2,2
36530,3,1,3,1,1.0,0,,,,,2,Mujer,17,289,5,Media,Media,0,1.0,1.0,0.0,0.0,Estudiando,Contributivo,1.0,1.0,2.0,3.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,,,1,1,2,2,3,1.0,1,1,2,3
36536,2,1,2,0,,1,,,,,1,Hombre,39,1521,8,Postgrado,Superior,1,0.0,1.0,0.0,0.0,Trabajando,Contributivo,1.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1.0,1.0,2,1,2,2,1,1.0,1,2,4,4
36590,4,1,4,0,,1,,,,,1,Hombre,44,1936,5,Media,Media,0,0.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,2,1,1,1.0,2,2,3,3
36676,1,1,1,1,1.0,0,10000.0,9.210340371976184,4.0,2000.0,1,Hombre,32,1024,6,Tecnica/tecnologica,Superior,0,1.0,1.0,1.0,0.0,Buscando empleo,Subsidiado,1.0,1.0,2.0,2.0,1,,,,,3,3.0,1.0,3.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,1,1,1,2,2,3.0,1,1,2,2
36720,3,1,3,1,1.0,0,30000.0,10.308952660644293,15.0,5000.0,1,Hombre,42,1764,4,Basica secundaria,Media,0,1.0,1.0,1.0,0.0,Buscando empleo,Subsidiado,0.0,0.0,3.0,3.0,1,,,,,3,4.0,1.0,5.0,1.0,CINCO MIL PESOS,,,,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,0,1.0,1.0,1,1,1,2,2,3.0,2,2,3,3
