directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
7,1,1,1,1,1.0,0,,,,,1,Hombre,33,1089,6,Tecnica/tecnologica,Superior,1,0.0,1.0,0.0,0.0,Trabajando,Contributivo,1.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1.0,1.0,2,1,2,2,1,1.0,1,2,4,4
38,3,1,3,0,,1,,,,,1,Hombre,40,1600,4,Basica secundaria,Media,0,0.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,1.0,1.0,2,1,2,2,1,3.0,2,2,3,3
48,1,1,1,0,,1,,,,,1,Hombre,34,1156,8,Postgrado,Superior,0,0.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,2.0,3.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,2,2,1,3.0,2,2,2,3
99,5,1,5,0,,1,,,,,2,Mujer,39,1521,5,Media,Media,1,0.0,0.0,0.0,1.0,Trabajando,,1.0,0.0,3.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1.0,2.0,2,2,2,1,1,,1,2,3,2
129,1,1,1,1,1.0,0,,,,,1,Hombre,44,1936,5,Media,Media,2,1.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,1.0,1.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,1,1,1,2,1,1.0,2,2,1,1
144,1,1,1,0,,1,,,,,1,Hombre,62,3844,4,Basica secundaria,Media,3,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,2,2,2,2,1,1.0,2,2,3,3
154,1,1,1,0,,1,,,,,2,Mujer,42,1764,8,Postgrado,Superior,1,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,1.0,2.0,2,2,2,2,1,1.0,2,2,4,4
160,1,1,1,1,1.0,0,10000.0,9.210340371976184,1.0,10000.0,1,Hombre,20,400,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Estudiando,Contributivo,0.0,0.0,3.0,3.0,1,1.0,,,,2,3.0,1.0,1.0,1.0,DIEZ MIL PESOS,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9,6,0,1.0,1.0,2,1,1,1,3,1.0,2,2,3,3
181,1,1,1,0,,1,,,,,1,Hombre,42,1764,6,Tecnica/tecnologica,Superior,3,1.0,0.0,0.0,0.0,Pensionado,Especial,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,1,2,2,2,6,2.0,2,2,4,4
266,1,1,1,0,,1,,,1.0,4000.0,1,Hombre,18,324,5,Media,Media,0,0.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,2.0,3.0,1,,,,1.0,2,2.0,2.0,,1.0,CUATRO MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,2,1,2,1,1.0,2,2,2,3
267,1,1,1,0,,1,,,,,2,Mujer,52,2704,8,Postgrado,Superior,0,1.0,1.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,2.0,1,1,2,2,1,1.0,2,2,4,3
279,1,1,1,1,1.0,0,,,,,1,Hombre,25,625,4,Basica secundaria,Media,2,1.0,1.0,0.0,1.0,Trabajando,Subsidiado,1.0,1.0,2.0,3.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,1.0,1.0,1,1,2,1,1,3.0,1,1,2,3
290,1,1,1,0,,1,,,,,1,Hombre,40,1600,7,Universitaria,Superior,1,0.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,,,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,1.0,1.0,2,1,1,2,1,1.0,2,2,5,5
305,1,1,1,0,,1,9000.0,9.104979856318357,3.0,3000.0,1,Hombre,21,441,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Estudiando,Contributivo,0.0,0.0,1.0,1.0,1,,1.0,,,3,3.0,1.0,3.0,1.0,TRES MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,1,1,1,3,1.0,2,2,1,1
308,1,1,1,0,,1,,,,,1,Hombre,44,1936,7,Universitaria,Superior,2,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,2,2,2,2,1,1.0,2,2,3,3
318,6,1,6,0,,1,,,,,1,Hombre,37,1369,5,Media,Media,0,0.0,1.0,1.0,0.0,Trabajando,Subsidiado,1.0,1.0,4.0,4.0,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,1,2,1,3.0,1,1,4,4
333,3,1,3,0,,1,,,1.0,,1,Hombre,16,256,4,Basica secundaria,Media,0,1.0,1.0,0.0,1.0,Estudiando,Especial,0.0,1.0,2.0,2.0,1,,1.0,,,2,1.0,2.0,,2.0,,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,,,1,1,2,1,3,2.0,2,1,2,2
367,2,1,2,0,,1,,,,,2,Mujer,64,4096,7,Universitaria,Superior,2,1.0,0.0,0.0,1.0,Otra actividad,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,2.0,1,2,2,1,8,1.0,2,2,3,3
401,3,1,3,1,1.0,0,,,,,1,Hombre,21,441,5,Media,Media,0,0.0,1.0,0.0,1.0,Oficios del hogar,Subsidiado,0.0,0.0,2.0,4.0,2,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,1.0,2,1,2,1,4,3.0,2,2,2,4
402,1,1,1,0,,1,,,,,2,Mujer,37,1369,8,Postgrado,Superior,0,1.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0,1,2,2,1,1,1.0,2,2,4,4
420,3,1,3,1,1.0,0,300000.0,12.611537753638338,60.0,2000.0,1,Hombre,28,784,5,Media,Media,0,1.0,1.0,1.0,1.0,Ocio,,0.0,0.0,3.0,2.0,1,,,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,1.0,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5,6,0,1.0,1.0,1,1,1,1,7,,2,2,3,2
477,3,1,3,1,1.0,0,,,,,1,Hombre,37,1369,5,Media,Media,0,0.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,2.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,1,2,1,1.0,2,2,3,2
513,3,1,3,0,,1,,,,,1,Hombre,19,361,5,Media,Media,0,1.0,1.0,1.0,1.0,Trabajando,,1.0,1.0,4.0,4.0,2,,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,1,1,1,1,1,,1,1,4,4
522,2,1,2,1,1.0,0,,,,,2,Mujer,30,900,5,Media,Media,3,1.0,0.0,0.0,0.0,Trabajando,Contributivo,1.0,1.0,3.0,1.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,2.0,1,2,2,2,1,1.0,1,1,3,1
535,1,1,1,1,1.0,0,17000.0,9.740968623038354,3.0,12000.0,2,Mujer,23,529,4,Basica secundaria,Media,0,0.0,1.0,1.0,0.0,Trabajando,,0.0,0.0,2.0,2.0,1,,,,,3,4.0,1.0,3.0,1.0,DOCE MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,2.0,2,1,1,2,1,,2,2,2,2
559,2,1,2,0,,1,120000.0,11.695247021764184,24.0,5000.0,2,Mujer,50,2500,5,Media,Media,0,1.0,1.0,0.0,0.0,Oficios del hogar,Subsidiado,0.0,0.0,,,1,,1.0,,,2,9.0,1.0,24.0,1.0,CINCO MIL PESOS,,,,,,,,,1.0,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5,2,0,1.0,2.0,1,1,2,2,4,3.0,2,2,5,5
598,1,1,1,0,,1,,,,,1,Hombre,64,4096,3,Basica primaria,Baja,0,0.0,0.0,0.0,0.0,Trabajando,Subsidiado,1.0,0.0,4.0,4.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,2,2,1,3.0,1,2,4,4
617,2,1,2,0,,1,20000.0,9.903487552536127,10.0,2000.0,1,Hombre,18,324,5,Media,Media,0,0.0,1.0,1.0,0.0,Estudiando,Contributivo,1.0,0.0,4.0,3.0,1,,1.0,,,3,2.0,1.0,10.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,1,1,2,3,1.0,1,2,4,3
624,1,1,1,1,1.0,0,,,,,2,Mujer,37,1369,6,Tecnica/tecnologica,Superior,3,1.0,0.0,1.0,0.0,Trabajando,Subsidiado,1.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,3.0,2.0,1,2,1,2,1,3.0,1,2,3,3
634,1,1,1,0,,1,,,,,1,Hombre,63,3969,7,Universitaria,Superior,0,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,2,2,1,1.0,2,2,3,3
645,1,1,1,0,,1,,,,,1,Hombre,35,1225,7,Universitaria,Superior,0,0.0,1.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,1.0,1.0,2,1,2,2,1,1.0,2,2,4,4
702,4,1,4,1,1.0,0,,,1.0,3000.0,1,Hombre,29,841,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Trabajando,,0.0,0.0,3.0,3.0,1,1.0,1.0,1.0,,3,2.0,2.0,,1.0,TRES MIL PESOS,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,1,1,1,1,,2,2,3,3
720,3,1,3,0,,1,,,,,1,Hombre,22,484,7,Universitaria,Superior,0,0.0,1.0,0.0,0.0,Estudiando,,1.0,1.0,2.0,1.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,2,2,3,9.0,1,1,2,1
721,1,1,1,0,,1,,,,,1,Hombre,47,2209,7,Universitaria,Superior,2,1.0,0.0,0.0,1.0,Trabajando,Contributivo,1.0,0.0,4.0,4.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,1,2,2,1,1,1.0,1,2,4,4
760,2,1,2,0,,1,,,,,1,Hombre,35,1225,7,Universitaria,Superior,1,1.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,1,1.0,1.0,1,2,1,2,1,1.0,2,2,4,4
778,3,1,3,0,,1,200000.0,12.206072645530174,40.0,5000.0,1,Hombre,26,676,3,Basica primaria,Baja,0,1.0,1.0,1.0,1.0,Trabajando,Subsidiado,1.0,0.0,,2.0,1,,,,1.0,3,5.0,1.0,30.0,1.0,CINCO MIL PESOS,,,,,1.0,,,,,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,6,0,1.0,1.0,1,1,1,1,1,3.0,1,2,5,2
819,3,1,3,1,1.0,0,,,,,1,Hombre,27,729,8,Postgrado,Superior,0,0.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,1,2,1,1.0,2,2,4,4
827,1,1,1,0,,1,,,,,1,Hombre,30,900,6,Tecnica/tecnologica,Superior,2,0.0,1.0,1.0,1.0,Trabajando,,1.0,1.0,2.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0,2,1,1,1,1,,1,1,2,2
829,1,1,1,0,,1,,,,,1,Hombre,46,2116,5,Media,Media,3,0.0,0.0,1.0,0.0,Trabajando,Contributivo,1.0,1.0,,,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,2,2,1,2,1,1.0,1,1,5,5
836,2,1,2,0,,1,,,,,1,Hombre,62,3844,5,Media,Media,3,0.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1.0,1.0,2,2,2,1,1,1.0,2,2,4,4
837,1,1,1,0,,1,,,,,1,Hombre,48,2304,3,Basica primaria,Baja,4,0.0,0.0,0.0,0.0,Trabajando,Subsidiado,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,4,1.0,1.0,2,2,2,2,1,3.0,1,1,4,4
839,1,1,1,0,,1,,,,,1,Hombre,59,3481,3,Basica primaria,Baja,6,0.0,0.0,0.0,0.0,Incapacitado,Subsidiado,1.0,1.0,2.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,1.0,1.0,2,2,2,2,5,3.0,1,1,2,4
843,3,1,3,0,,1,,,,,2,Mujer,48,2304,7,Universitaria,Superior,1,1.0,1.0,1.0,1.0,Trabajando,Contributivo,1.0,0.0,1.0,1.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1.0,2.0,1,1,1,1,1,1.0,1,2,1,1
867,2,1,2,0,,1,,,,,1,Hombre,36,1296,3,Basica primaria,Baja,2,1.0,1.0,0.0,1.0,Trabajando,,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,2,1.0,1.0,1,1,2,1,1,,1,1,4,4
972,3,1,3,1,1.0,0,,,,,1,Hombre,25,625,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Estudiando,Contributivo,0.0,0.0,3.0,3.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,1,1,3,1.0,2,2,3,3
982,3,1,3,0,,1,,,,,2,Mujer,17,289,4,Basica secundaria,Media,1,0.0,1.0,0.0,0.0,Oficios del hogar,Subsidiado,0.0,0.0,3.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,,,2,1,2,2,4,3.0,2,2,3,4
1014,1,1,1,0,,1,,,,,2,Mujer,32,1024,6,Tecnica/tecnologica,Superior,2,0.0,0.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,2.0,2,2,2,2,1,3.0,2,2,4,4
1023,1,1,1,0,,1,,,,,2,Mujer,32,1024,5,Media,Media,4,1.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,4,1.0,2.0,1,1,2,2,1,3.0,2,2,4,3
1102,2,1,2,0,,1,,,,,2,Mujer,65,4225,1,Ninguno,Baja,2,1.0,0.0,1.0,0.0,Trabajando,Subsidiado,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0,1,2,1,2,1,3.0,1,1,4,4
1124,2,1,2,1,1.0,0,80000.0,11.289781913656018,2.0,2000.0,1,Hombre,38,1444,5,Media,Media,3,1.0,1.0,1.0,0.0,Trabajando,Subsidiado,0.0,0.0,2.0,2.0,1,1.0,,,,3,5.0,1.0,29.0,1.0,DOS MIL PESOS,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9,2,3,1.0,1.0,1,1,1,2,1,3.0,2,2,2,2
1129,2,1,2,1,1.0,0,,,,,2,Mujer,58,3364,3,Basica primaria,Baja,3,1.0,1.0,1.0,1.0,Trabajando,Subsidiado,1.0,0.0,2.0,2.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1.0,2.0,1,1,1,1,1,3.0,1,2,2,2
1135,1,1,1,1,1.0,0,,,,,2,Mujer,30,900,5,Media,Media,2,1.0,0.0,0.0,0.0,Oficios del hogar,Subsidiado,0.0,0.0,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0,1,2,2,2,4,3.0,2,2,5,5
1142,3,1,3,1,1.0,0,5000.0,8.517193191416238,4.0,1000.0,1,Hombre,21,441,5,Media,Media,0,1.0,1.0,1.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,3.0,1,,,,,3,4.0,1.0,5.0,1.0,MIL PESOS,,,,1.0,,,,,,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9,6,0,1.0,1.0,1,1,1,2,1,3.0,2,2,4,3
1147,2,1,2,1,1.0,0,,,,,2,Mujer,23,529,4,Basica secundaria,Media,4,0.0,1.0,1.0,0.0,Trabajando,Subsidiado,1.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,4,1.0,2.0,2,1,1,2,1,3.0,1,2,4,4
1181,1,1,1,0,,1,,,,,1,Hombre,65,4225,3,Basica primaria,Baja,3,0.0,0.0,1.0,0.0,Oficios del hogar,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,1.0,1.0,2,2,1,2,4,1.0,2,2,4,4
1188,3,1,3,1,1.0,0,,,,,1,Hombre,21,441,6,Tecnica/tecnologica,Superior,0,0.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,2.0,2.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,2,1,1,1.0,2,2,2,2
1189,3,1,3,0,,1,,,,,1,Hombre,38,1444,7,Universitaria,Superior,0,0.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,1.0,1.0,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,1,2,1,1.0,2,2,1,1
1197,2,1,2,1,1.0,0,,,,,2,Mujer,27,729,7,Universitaria,Superior,1,1.0,1.0,1.0,1.0,Estudiando,Contributivo,1.0,1.0,2.0,1.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1.0,2.0,1,1,1,1,3,1.0,1,1,2,1
1198,1,1,1,0,,1,,,,,1,Hombre,49,2401,8,Postgrado,Superior,2,0.0,1.0,1.0,1.0,Trabajando,Contributivo,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,1.0,2,1,1,1,1,1.0,1,1,4,4
1232,3,1,3,0,,1,,,1.0,,1,Hombre,20,400,6,Tecnica/tecnologica,Superior,0,0.0,1.0,1.0,1.0,Trabajando,Subsidiado,1.0,0.0,1.0,2.0,1,,1.0,,,3,1.0,2.0,,2.0,,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,1,1,1,1,3.0,1,2,1,2
1236,2,1,2,1,1.0,0,50000.0,10.819778284410283,3.0,2000.0,1,Hombre,26,676,4,Basica secundaria,Media,0,1.0,1.0,1.0,1.0,Estudiando,,0.0,0.0,1.0,1.0,1,,1.0,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,1.0,1.0,1.0,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9,6,0,1.0,1.0,1,1,1,1,3,,2,2,1,1
1333,1,1,1,1,1.0,0,,,,,1,Hombre,31,961,5,Media,Media,2,0.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,2.0,2.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0,2,2,1,2,1,1.0,2,2,2,2
1371,3,1,3,0,,1,,,6.0,3000.0,1,Hombre,24,576,6,Tecnica/tecnologica,Superior,3,1.0,1.0,1.0,1.0,Trabajando,Contributivo,1.0,1.0,2.0,2.0,1,,1.0,,,3,3.0,2.0,,1.0,TRES MIL PESOS,,,,1.0,,,1.0,,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5,3,3,1.0,1.0,1,1,1,1,1,1.0,1,1,2,2
1431,1,1,1,0,,1,,,,,1,Hombre,57,3249,7,Universitaria,Superior,2,0.0,1.0,0.0,1.0,Incapacitado,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,1.0,2,1,2,1,5,1.0,2,2,3,3
1446,2,1,2,1,1.0,0,,,,,2,Mujer,38,1444,3,Basica primaria,Baja,2,1.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,1.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0,1,2,2,2,1,1.0,2,1,4,4
1455,1,1,1,1,1.0,0,40000.0,10.596634733096073,40.0,1000.0,1,Hombre,23,529,3,Basica primaria,Baja,1,1.0,0.0,1.0,0.0,Trabajando,,1.0,0.0,4.0,3.0,1,,1.0,,,1,5.0,1.0,30.0,1.0,MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,2,1,1.0,1.0,1,2,1,2,1,,1,2,4,3
1461,1,1,1,0,,1,,,,,1,Hombre,62,3844,3,Basica primaria,Baja,7,0.0,0.0,0.0,0.0,Oficios del hogar,Subsidiado,0.0,1.0,,,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,7,1.0,1.0,2,2,2,2,4,3.0,2,1,5,5
1491,1,1,1,0,,1,,,,,1,Hombre,29,841,4,Basica secundaria,Media,0,1.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,,,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,1.0,1.0,1,1,2,2,1,3.0,2,2,5,5
1503,2,1,2,1,1.0,0,2000.0,7.600902459542082,2.0,2000.0,1,Hombre,24,576,5,Media,Media,0,0.0,1.0,1.0,1.0,Estudiando,Subsidiado,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,,3,3.0,1.0,1.0,1.0,DOS MIL PESOS,,,,,,,,,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,1,1,1,3,3.0,2,2,1,1
1535,3,1,3,1,1.0,0,30000.0,10.308952660644293,150.0,1000.0,1,Hombre,34,1156,5,Media,Media,1,1.0,1.0,1.0,1.0,Trabajando,Subsidiado,1.0,1.0,2.0,1.0,1,,1.0,1.0,,9,5.0,1.0,30.0,1.0,MIL PESOS,,,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5,5,1,1.0,1.0,1,1,1,1,1,3.0,1,1,2,1
1537,4,1,4,0,,1,,,,,1,Hombre,62,3844,4,Basica secundaria,Media,1,0.0,0.0,1.0,0.0,Trabajando,Subsidiado,1.0,0.0,4.0,4.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1.0,1.0,2,2,1,2,1,3.0,1,2,4,4
