d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
9,4,2,7,701,1.0,2.0,10647,2,1,2
9,6,0,4,407,,,10648,3,1,3
9,6,0,7,705,1.0,2.0,10649,1,1,1
5,6,0,7,702,1.0,1.0,10650,2,1,2
9,5,1,6,606,1.0,2.0,10651,2,1,2
9,6,1,5,510,,,10653,3,1,3
9,5,1,1,100,1.0,2.0,10654,1,1,1
9,6,1,5,512,1.0,2.0,10655,1,1,1
9,3,2,5,511,1.0,1.0,10656,1,1,1
9,2,4,3,305,1.0,2.0,10658,1,1,1
9,6,0,5,511,,,10660,2,1,2
9,3,4,6,602,1.0,2.0,10662,2,1,2
9,3,3,5,511,1.0,2.0,10663,2,1,2
9,5,2,3,302,1.0,1.0,10664,3,1,3
9,6,0,5,511,1.0,2.0,10665,5,1,5
5,3,1,8,801,1.0,1.0,10666,2,1,2
5,3,2,5,511,1.0,2.0,10667,1,1,1
9,3,0,3,302,1.0,1.0,10668,1,1,1
9,6,3,5,511,1.0,1.0,10669,1,1,1
5,2,3,5,511,1.0,2.0,10670,2,1,2
1,3,3,3,304,1.0,2.0,10672,2,1,2
9,6,0,4,406,,,10673,5,1,5
9,6,0,6,602,1.0,2.0,10674,1,1,1
9,6,0,5,511,1.0,2.0,10675,3,1,3
9,2,2,5,511,1.0,1.0,10677,1,1,1
9,6,0,4,407,1.0,1.0,10679,3,1,3
9,6,0,7,704,1.0,1.0,10680,1,1,1
5,2,1,7,705,1.0,2.0,10681,1,1,1
9,3,2,3,305,1.0,1.0,10682,1,1,1
5,5,2,5,511,1.0,2.0,10683,1,1,1
9,5,2,6,600,1.0,1.0,10684,1,1,1
5,3,1,5,510,1.0,2.0,10685,2,1,2
9,2,2,5,511,1.0,1.0,10686,1,1,1
9,6,0,5,511,1.0,1.0,10687,3,1,3
5,3,3,7,705,1.0,2.0,10688,2,1,2
5,2,1,5,511,1.0,2.0,10689,2,1,2
9,3,2,3,305,1.0,2.0,10690,2,1,2
9,2,2,5,511,1.0,2.0,10692,2,1,2
9,6,0,3,305,1.0,2.0,10693,2,1,2
9,3,3,3,302,1.0,2.0,10694,2,1,2
9,2,2,5,511,1.0,2.0,10695,1,1,1
9,2,0,4,409,1.0,2.0,10696,3,1,3
9,2,1,5,511,1.0,2.0,10697,2,1,2
9,2,2,5,511,1.0,1.0,10698,1,1,1
9,3,3,7,705,1.0,1.0,10699,2,1,2
5,3,2,6,601,1.0,2.0,10700,2,1,2
5,6,2,6,603,1.0,2.0,10701,1,1,1
9,1,3,4,408,1.0,1.0,10702,1,1,1
9,6,0,5,510,,,10703,2,1,2
9,2,1,5,510,1.0,2.0,10704,1,1,1
9,2,1,7,705,1.0,2.0,10705,2,1,2
5,2,5,7,705,1.0,1.0,10706,2,1,2
9,2,1,6,602,1.0,2.0,10707,2,1,2
9,3,1,7,705,1.0,1.0,10708,1,1,1
9,6,0,6,602,1.0,1.0,10709,3,1,3
9,2,2,5,511,1.0,2.0,10710,2,1,2
9,2,3,5,511,1.0,1.0,10711,1,1,1
9,6,0,7,703,1.0,2.0,10712,1,1,1
9,6,0,4,409,,,10713,2,1,2
9,3,2,7,705,1.0,2.0,10714,1,1,1
9,2,2,3,304,1.0,1.0,10716,1,1,1
9,3,1,4,409,1.0,1.0,10717,2,1,2
9,3,2,7,705,1.0,2.0,10718,4,1,4
9,6,0,6,601,1.0,2.0,10719,3,1,3
5,2,0,5,511,1.0,1.0,10720,1,1,1
1,6,1,3,305,1.0,2.0,10722,1,1,1
5,6,2,5,511,1.0,2.0,10723,1,1,1
9,1,0,3,305,1.0,1.0,10724,1,1,1
9,6,0,7,702,1.0,1.0,10725,2,1,2
9,5,5,3,305,1.0,2.0,10726,1,1,1
9,6,0,5,511,1.0,2.0,10727,2,1,2
9,2,1,5,511,1.0,2.0,10728,2,1,2
9,2,2,3,305,1.0,1.0,10729,1,1,1
9,6,4,3,305,1.0,2.0,10730,1,1,1
9,5,1,5,511,1.0,1.0,10731,2,1,2
9,5,2,4,406,1.0,1.0,10732,1,1,1
9,3,2,7,705,1.0,2.0,10733,2,1,2
9,3,2,5,511,1.0,1.0,10735,1,1,1
9,6,2,5,511,1.0,2.0,10736,1,1,1
9,6,0,4,406,1.0,1.0,10737,4,1,4
9,6,1,4,407,1.0,1.0,10739,1,1,1
9,6,0,7,703,1.0,1.0,10740,2,1,2
5,6,1,5,511,1.0,2.0,10741,3,1,3
9,6,0,5,511,1.0,2.0,10743,1,1,1
9,2,0,5,511,1.0,2.0,10744,3,1,3
9,6,0,5,511,1.0,1.0,10745,2,1,2
9,2,5,5,511,1.0,1.0,10746,1,1,1
9,4,3,3,304,1.0,2.0,10747,1,1,1
9,2,3,5,511,1.0,2.0,10748,2,1,2
9,5,3,7,705,1.0,2.0,10749,1,1,1
9,6,0,4,408,,,10750,3,1,3
9,2,1,6,600,1.0,2.0,10751,2,1,2
9,3,5,3,305,1.0,2.0,10752,2,1,2
9,2,3,3,305,1.0,2.0,10753,2,1,2
5,4,3,4,406,1.0,2.0,10754,1,1,1
9,2,2,5,510,1.0,2.0,10755,2,1,2
9,1,0,6,603,1.0,1.0,10756,3,1,3
9,3,1,4,409,1.0,1.0,10757,2,1,2
1,2,6,5,511,1.0,1.0,10758,1,1,1
9,2,1,4,409,,,10759,2,1,2
9,6,0,4,408,,,10760,2,1,2
9,2,2,5,513,1.0,2.0,10761,2,1,2
9,5,3,5,511,1.0,1.0,10762,1,1,1
9,2,2,5,511,1.0,1.0,10763,1,1,1
5,6,0,5,510,1.0,2.0,10764,1,1,1
9,5,4,9,99,1.0,2.0,10766,1,1,1
5,4,4,4,408,1.0,2.0,10767,1,1,1
9,6,0,3,305,,,10768,3,1,3
5,1,0,7,705,1.0,2.0,10769,2,1,2
9,2,1,6,602,1.0,1.0,10770,1,1,1
9,3,3,5,511,1.0,1.0,10771,1,1,1
9,2,3,5,511,1.0,2.0,10772,1,1,1
1,2,3,4,406,1.0,2.0,10773,2,1,2
9,6,0,6,602,1.0,2.0,10774,3,1,3
9,5,2,5,511,1.0,1.0,10775,2,1,2
9,6,0,5,510,1.0,1.0,10776,2,1,2
9,2,1,6,602,1.0,1.0,10777,4,1,4
9,1,2,6,603,1.0,1.0,10778,1,1,1
1,2,3,8,801,1.0,2.0,10779,4,1,4
5,2,4,8,801,1.0,1.0,10780,1,1,1
9,5,2,5,510,1.0,2.0,10781,1,1,1
9,3,1,7,705,1.0,2.0,10782,2,1,2
9,6,0,7,705,1.0,1.0,10783,2,1,2
9,2,0,4,408,1.0,2.0,10784,2,1,2
9,2,1,4,406,1.0,1.0,10785,1,1,1
5,6,0,3,305,1.0,2.0,10786,2,1,2
9,5,4,7,706,1.0,1.0,10787,2,1,2
9,3,3,3,305,1.0,2.0,10788,2,1,2
9,6,0,5,511,1.0,2.0,10789,1,1,1
9,6,2,6,602,1.0,2.0,10790,1,1,1
9,4,2,3,302,1.0,2.0,10791,1,1,1
5,3,4,6,601,1.0,2.0,10792,2,1,2
9,3,3,7,705,1.0,2.0,10793,3,1,3
9,2,2,5,511,1.0,2.0,10794,2,1,2
9,5,5,3,305,1.0,1.0,10795,1,1,1
9,6,1,5,511,1.0,2.0,10797,1,1,1
9,2,1,4,406,1.0,1.0,10798,1,1,1
5,3,2,5,511,1.0,2.0,10799,5,1,5
9,2,1,5,511,1.0,2.0,10801,2,1,2
9,6,0,7,701,1.0,2.0,10802,3,1,3
9,6,0,5,511,1.0,2.0,10803,4,1,4
5,2,1,5,511,1.0,2.0,10804,2,1,2
9,2,1,7,705,1.0,2.0,10806,2,1,2
9,2,3,6,605,1.0,1.0,10808,1,1,1
9,3,3,5,511,1.0,2.0,10809,2,1,2
5,6,0,3,305,,,10810,2,1,2
9,5,1,6,602,1.0,2.0,10811,3,1,3
9,3,3,3,305,1.0,1.0,10812,1,1,1
9,3,3,4,406,1.0,1.0,10813,1,1,1
9,5,3,7,705,1.0,1.0,10814,1,1,1
9,3,2,7,705,1.0,2.0,10815,3,1,3
9,3,2,4,408,1.0,2.0,10816,1,1,1
9,6,3,3,302,1.0,2.0,10817,2,1,2
9,2,3,3,302,1.0,1.0,10818,1,1,1
9,3,2,5,511,1.0,1.0,10820,4,1,4
9,2,0,4,409,2.0,1.0,10821,2,1,2
5,6,0,4,407,,,10822,4,1,4
9,2,4,3,305,1.0,2.0,10823,1,1,1
1,6,2,4,407,1.0,2.0,10824,1,1,1
9,6,0,5,510,1.0,1.0,10825,2,1,2
1,2,4,3,305,1.0,1.0,10826,1,1,1
9,6,0,3,305,,,10827,2,1,2
9,4,1,5,511,1.0,2.0,10828,1,1,1
9,6,0,5,511,1.0,2.0,10829,5,1,5
9,5,3,5,511,1.0,2.0,10830,1,1,1
9,6,0,3,305,,,10831,4,1,4
9,1,1,4,408,1.0,2.0,10833,1,1,1
9,2,2,3,304,1.0,1.0,10834,1,1,1
9,6,0,5,511,1.0,2.0,10835,1,1,1
5,6,0,5,511,1.0,1.0,10836,1,1,1
9,6,0,7,705,1.0,1.0,10837,1,1,1
9,6,1,5,511,1.0,2.0,10838,4,1,4
5,5,2,3,302,1.0,1.0,10839,1,1,1
5,1,1,6,601,1.0,1.0,10840,1,1,1
9,3,3,6,601,1.0,1.0,10841,2,1,2
9,6,0,6,602,1.0,1.0,10842,3,1,3
9,6,0,4,406,1.0,1.0,10843,2,1,2
9,2,3,5,511,1.0,1.0,10844,1,1,1
9,2,4,3,305,1.0,2.0,10845,2,1,2
9,2,4,4,406,1.0,2.0,10846,2,1,2
9,3,2,6,601,1.0,2.0,10848,2,1,2
9,3,1,6,602,1.0,1.0,10849,1,1,1
9,6,0,4,406,,,10850,5,1,5
9,2,3,5,511,1.0,2.0,10851,2,1,2
9,2,3,3,305,1.0,1.0,10852,1,1,1
5,2,2,4,409,1.0,1.0,10853,1,1,1
9,5,3,4,409,1.0,2.0,10854,1,1,1
5,2,0,4,409,1.0,1.0,10855,1,1,1
9,2,2,5,511,1.0,2.0,10856,2,1,2
5,2,0,5,511,1.0,1.0,10857,8,1,8
9,6,0,5,511,1.0,2.0,10858,4,1,4
9,3,2,6,602,1.0,1.0,10859,1,1,1
9,2,0,3,305,1.0,1.0,10860,1,1,1
9,2,2,5,511,1.0,2.0,10861,2,1,2
9,3,4,3,303,1.0,2.0,10862,1,1,1
9,2,0,5,511,1.0,1.0,10863,1,1,1
9,6,2,5,511,1.0,2.0,10864,1,1,1
9,6,0,4,406,,,10865,4,1,4
9,6,0,3,302,1.0,1.0,10866,2,1,2
9,6,0,5,511,1.0,2.0,10867,4,1,4
9,6,0,7,705,2.0,2.0,10868,3,1,3
9,6,0,6,602,1.0,2.0,10869,3,1,3
9,1,3,7,706,1.0,1.0,10870,1,1,1
9,2,1,4,409,1.0,1.0,10871,1,1,1
9,5,3,4,407,1.0,2.0,10872,1,1,1
9,5,1,6,602,1.0,1.0,10873,4,1,4
9,2,1,5,511,1.0,1.0,10874,2,1,2
9,6,0,4,406,,,10875,3,1,3
9,6,1,5,511,1.0,1.0,10876,2,1,2
9,6,0,6,601,1.0,2.0,10877,1,1,1
9,3,1,7,705,1.0,2.0,10878,3,1,3
9,5,1,6,603,1.0,2.0,10879,1,1,1
9,6,0,6,602,1.0,1.0,10880,3,1,3
1,3,1,5,511,1.0,2.0,10881,2,1,2
9,5,1,4,409,1.0,2.0,10882,1,1,1
9,5,0,6,602,1.0,2.0,10883,2,1,2
1,5,2,4,400,1.0,1.0,10884,2,1,2
1,6,0,5,511,,,10885,2,1,2
9,2,3,4,400,1.0,2.0,10887,2,1,2
9,3,1,6,606,1.0,2.0,10888,3,1,3
9,6,0,4,409,1.0,1.0,10889,2,1,2
9,6,0,3,303,1.0,1.0,10890,1,1,1
9,2,2,5,511,1.0,2.0,10891,2,1,2
9,3,3,3,303,1.0,2.0,10892,2,1,2
9,3,2,5,512,1.0,2.0,10893,1,1,1
1,6,0,6,603,1.0,2.0,10894,1,1,1
9,6,0,6,602,1.0,1.0,10895,2,1,2
9,2,2,5,510,1.0,1.0,10897,1,1,1
9,3,3,5,511,1.0,1.0,10898,1,1,1
9,1,1,3,305,1.0,1.0,10899,2,1,2
9,1,0,4,407,2.0,1.0,10900,1,1,1
9,6,0,5,511,1.0,1.0,10901,3,1,3
9,6,0,7,705,1.0,2.0,10903,3,1,3
1,2,1,7,704,1.0,2.0,10904,2,1,2
9,1,1,4,400,1.0,1.0,10905,3,1,3
5,2,2,5,511,1.0,2.0,10906,2,1,2
9,6,0,7,705,1.0,1.0,10909,3,1,3
9,3,0,7,705,1.0,1.0,10910,1,1,1
9,2,3,3,305,1.0,2.0,10911,2,1,2
9,2,2,8,802,1.0,1.0,10912,1,1,1
9,2,3,3,300,1.0,1.0,10913,1,1,1
9,2,6,4,406,1.0,2.0,10914,2,1,2
9,6,0,7,702,1.0,2.0,10915,3,1,3
9,2,2,4,400,1.0,1.0,10916,1,1,1
9,6,0,4,408,,,10918,2,1,2
9,1,1,5,511,1.0,2.0,10919,1,1,1
5,6,0,7,704,1.0,2.0,10920,3,1,3
9,3,2,7,705,1.0,2.0,10921,2,1,2
9,4,2,3,305,1.0,2.0,10922,2,1,2
9,5,2,4,408,1.0,2.0,10923,1,1,1
9,3,3,6,602,1.0,2.0,10924,2,1,2
1,2,2,4,406,1.0,1.0,10925,1,1,1
9,6,0,8,802,1.0,2.0,10926,2,1,2
9,1,2,7,710,1.0,2.0,10928,1,1,1
1,2,2,5,512,1.0,2.0,10929,2,1,2
9,5,3,3,301,1.0,2.0,10930,1,1,1
9,3,0,6,602,1.0,1.0,10931,3,1,3
9,6,0,5,511,1.0,2.0,10932,2,1,2
9,6,3,3,305,1.0,2.0,10933,1,1,1
9,6,0,4,408,,,10934,3,1,3
9,6,0,5,511,1.0,2.0,10935,4,1,4
9,2,1,6,602,1.0,2.0,10936,2,1,2
9,6,0,4,409,1.0,1.0,10937,1,1,1
9,2,1,5,511,1.0,2.0,10938,1,1,1
1,6,1,6,602,1.0,1.0,10939,3,1,3
9,6,0,5,510,1.0,1.0,10940,4,1,4
9,6,0,5,510,,,10941,3,1,3
9,6,0,6,601,1.0,1.0,10942,2,1,2
9,1,0,4,409,1.0,2.0,10943,2,1,2
9,6,0,4,400,,,10944,3,1,3
9,6,0,4,406,,,10945,5,1,5
1,2,2,4,406,1.0,2.0,10946,3,1,3
9,2,1,6,602,1.0,2.0,10947,2,1,2
9,2,2,5,511,1.0,2.0,10948,1,1,1
1,2,6,3,305,1.0,2.0,10950,2,1,2
9,2,1,6,602,1.0,2.0,10951,2,1,2
9,1,0,6,605,1.0,2.0,10952,2,1,2
1,3,4,3,305,1.0,2.0,10953,2,1,2
9,1,3,6,602,1.0,1.0,10954,1,1,1
9,4,2,4,408,1.0,2.0,10955,1,1,1
9,1,1,5,513,1.0,2.0,10956,2,1,2
1,1,0,6,604,1.0,2.0,10957,5,1,5
1,2,1,6,602,1.0,2.0,10958,2,1,2
9,3,3,5,510,1.0,1.0,10959,1,1,1
1,1,1,6,600,1.0,2.0,10960,1,1,1
9,6,0,5,511,,,10961,2,1,2
9,2,3,6,604,1.0,2.0,10962,2,1,2
1,2,1,5,511,1.0,1.0,10963,1,1,1
1,3,4,6,602,1.0,2.0,10964,1,1,1
1,3,2,6,604,1.0,2.0,10965,2,1,2
9,3,1,6,602,1.0,2.0,10966,2,1,2
9,6,0,8,802,1.0,2.0,10967,3,1,3
9,6,1,7,705,1.0,2.0,10968,1,1,1
5,6,4,3,303,1.0,2.0,10969,1,1,1
9,1,3,4,408,1.0,2.0,10970,4,1,4
5,2,0,3,301,1.0,1.0,10971,1,1,1
5,2,1,7,701,1.0,2.0,10972,2,1,2
9,6,0,3,305,,,10973,4,1,4
5,6,2,4,409,1.0,2.0,10974,4,1,4
9,2,0,6,601,1.0,2.0,10976,2,1,2
5,2,2,5,511,1.0,2.0,10977,2,1,2
9,6,0,5,511,,,10978,2,1,2
9,1,0,5,511,1.0,2.0,10979,2,1,2
9,6,0,6,602,1.0,1.0,10980,3,1,3
5,2,1,7,704,1.0,2.0,10981,1,1,1
5,6,5,3,305,1.0,2.0,10982,1,1,1
5,2,3,7,705,1.0,2.0,10983,1,1,1
9,2,2,6,602,1.0,2.0,10984,2,1,2
9,6,0,5,513,1.0,1.0,10985,3,1,3
9,3,2,7,708,1.0,2.0,10986,2,1,2
9,5,5,5,513,1.0,1.0,10987,1,1,1
9,6,0,5,510,1.0,1.0,10988,3,1,3
9,2,1,5,511,1.0,2.0,10989,2,1,2
9,6,0,4,407,,,10990,4,1,4
9,3,3,5,513,1.0,1.0,10991,1,1,1
9,6,2,7,705,1.0,2.0,10992,1,1,1
9,2,1,6,602,1.0,1.0,10993,1,1,1
1,1,1,7,706,1.0,1.0,10994,1,1,1
9,6,1,5,511,1.0,1.0,10995,2,1,2
9,6,0,5,511,1.0,1.0,10997,2,1,2
1,6,1,4,408,,,10998,3,1,3
9,2,1,6,602,1.0,2.0,10999,2,1,2
9,2,2,3,305,1.0,2.0,11000,2,1,2
9,5,1,6,602,1.0,2.0,11001,1,1,1
9,2,1,5,511,1.0,1.0,11002,1,1,1
9,6,0,4,407,,,11003,4,1,4
9,2,5,3,305,1.0,2.0,11004,2,1,2
5,4,4,5,510,1.0,1.0,11005,1,1,1
9,6,0,3,305,,,11006,3,1,3
9,2,3,4,408,1.0,1.0,11007,1,1,1
9,3,3,3,305,1.0,2.0,11008,1,1,1
5,6,3,5,511,1.0,2.0,11009,1,1,1
9,6,0,5,511,,,11010,3,1,3
9,6,0,7,705,1.0,1.0,11011,3,1,3
9,3,2,5,511,1.0,1.0,11012,1,1,1
9,6,8,4,408,1.0,1.0,11013,1,1,1
9,2,2,5,511,1.0,2.0,11014,2,1,2
9,3,1,5,511,1.0,1.0,11015,1,1,1
5,3,2,8,803,1.0,1.0,11016,1,1,1
9,6,0,8,805,1.0,1.0,11017,1,1,1
9,5,2,6,603,1.0,2.0,11018,1,1,1
5,2,4,3,303,1.0,2.0,11019,2,1,2
9,3,2,6,601,1.0,2.0,11020,2,1,2
5,2,3,3,305,1.0,2.0,11021,2,1,2
9,1,0,7,702,1.0,2.0,11022,6,1,6
9,5,1,6,604,1.0,2.0,11023,3,1,3
9,2,1,5,510,1.0,2.0,11024,2,1,2
9,2,1,4,408,1.0,2.0,11025,1,1,1
9,6,0,5,510,,,11026,4,1,4
9,2,2,5,511,1.0,2.0,11027,2,1,2
9,5,2,3,305,1.0,2.0,11028,1,1,1
5,2,3,4,406,1.0,1.0,11029,1,1,1
9,2,7,6,602,1.0,1.0,11030,1,1,1
5,5,1,3,305,1.0,1.0,11031,3,1,3
9,3,2,6,602,1.0,2.0,11032,2,1,2
9,6,0,5,511,1.0,1.0,11034,1,1,1
9,3,4,5,511,1.0,1.0,11035,1,1,1
5,6,0,3,305,,,11036,4,1,4
9,5,4,1,100,1.0,2.0,11037,1,1,1
9,3,3,5,511,1.0,1.0,11038,1,1,1
9,2,2,3,304,1.0,1.0,11039,1,1,1
9,6,0,7,705,1.0,2.0,11040,3,1,3
9,5,3,4,406,1.0,2.0,11041,2,1,2
9,6,0,7,705,1.0,2.0,11043,4,1,4
9,3,2,5,511,1.0,2.0,11044,3,1,3
9,2,1,5,511,1.0,1.0,11045,1,1,1
9,2,3,3,305,1.0,1.0,11046,1,1,1
9,5,2,3,303,1.0,1.0,11047,1,1,1
9,6,3,3,305,1.0,2.0,11048,1,1,1
9,4,1,7,705,1.0,2.0,11049,1,1,1
9,3,2,6,602,1.0,2.0,11052,1,1,1
9,3,3,3,305,1.0,1.0,11053,1,1,1
9,2,0,6,603,1.0,2.0,11054,1,1,1
9,2,4,5,511,1.0,1.0,11055,2,1,2
9,5,2,5,511,1.0,1.0,11056,1,1,1
9,6,0,6,602,1.0,1.0,11057,3,1,3
9,6,0,7,704,1.0,1.0,11058,3,1,3
9,5,2,6,602,1.0,2.0,11059,2,1,2
9,6,0,3,305,,,11060,3,1,3
9,2,1,6,602,1.0,2.0,11061,2,1,2
9,6,0,7,701,1.0,2.0,11062,3,1,3
9,2,6,3,305,1.0,1.0,11063,1,1,1
9,2,3,3,305,1.0,2.0,11064,2,1,2
9,6,1,5,511,1.0,1.0,11065,1,1,1
9,6,0,7,705,1.0,1.0,11066,1,1,1
9,2,2,5,511,1.0,2.0,11067,2,1,2
9,3,2,3,305,1.0,2.0,11069,2,1,2
9,3,2,6,603,1.0,2.0,11070,2,1,2
9,6,0,5,511,1.0,2.0,11071,5,1,5
9,2,1,5,511,1.0,1.0,11072,1,1,1
9,5,1,5,511,1.0,1.0,11073,2,1,2
9,5,2,3,305,1.0,2.0,11074,1,1,1
9,6,0,3,305,1.0,1.0,11075,1,1,1
9,5,3,6,604,1.0,1.0,11076,1,1,1
9,2,2,5,511,1.0,1.0,11077,1,1,1
9,2,0,5,511,1.0,2.0,11078,2,1,2
9,5,2,3,305,1.0,1.0,11079,3,1,3
9,5,1,7,710,1.0,2.0,11080,4,1,4
5,6,0,7,708,1.0,1.0,11081,4,1,4
9,6,0,5,510,,,11082,3,1,3
9,3,2,4,407,1.0,2.0,11083,8,1,8
9,6,0,5,513,,,11084,3,1,3
5,6,0,6,602,1.0,1.0,11085,2,1,2
5,6,0,6,602,,,11086,2,1,2
5,3,3,5,513,1.0,2.0,11087,2,1,2
5,6,0,6,600,1.0,1.0,11089,4,1,4
9,1,0,4,407,1.0,1.0,11090,2,1,2
9,2,1,5,511,1.0,1.0,11091,3,1,3
9,3,2,5,511,1.0,2.0,11092,4,1,4
9,5,3,4,409,1.0,1.0,11093,1,1,1
9,3,2,3,305,1.0,2.0,11094,2,1,2
9,5,2,5,511,1.0,2.0,11095,1,1,1
9,6,0,4,406,,,11096,2,1,2
9,2,3,3,305,1.0,2.0,11097,1,1,1
9,6,0,7,703,1.0,2.0,11098,1,1,1
9,6,0,5,511,2.0,4.0,11099,4,1,4
9,1,2,3,300,1.0,1.0,11100,1,1,1
9,2,5,5,511,1.0,2.0,11101,1,1,1
9,2,1,3,305,1.0,2.0,11102,2,1,2
9,5,2,5,511,1.0,2.0,11103,1,1,1
9,2,3,3,305,1.0,2.0,11104,2,1,2
9,5,4,3,303,1.0,2.0,11105,1,1,1
5,3,3,5,511,1.0,1.0,11106,1,1,1
9,5,0,5,511,1.0,1.0,11107,1,1,1
9,4,3,6,602,1.0,2.0,11108,1,1,1
9,2,1,6,603,1.0,2.0,11109,2,1,2
1,6,0,5,511,1.0,1.0,11110,2,1,2
9,3,0,3,301,1.0,1.0,11111,1,1,1
9,2,3,5,511,1.0,2.0,11113,2,1,2
9,2,0,6,602,2.0,1.0,11114,1,1,1
9,2,1,4,406,1.0,1.0,11115,1,1,1
9,5,1,5,511,1.0,1.0,11116,4,1,4
9,6,0,6,602,1.0,2.0,11117,4,1,4
9,6,0,4,409,,,11118,2,1,2
9,2,0,4,408,1.0,1.0,11119,2,1,2
9,2,0,5,511,1.0,1.0,11120,1,1,1
5,1,4,4,408,1.0,1.0,11121,3,1,3
5,6,0,7,703,1.0,2.0,11122,5,1,5
5,6,0,6,603,1.0,2.0,11123,4,1,4
5,6,0,4,409,1.0,1.0,11124,3,1,3
9,2,2,4,408,1.0,1.0,11125,1,1,1
9,6,0,4,400,1.0,1.0,11126,2,1,2
9,2,2,6,600,1.0,2.0,11127,1,1,1
9,2,4,3,304,1.0,1.0,11128,2,1,2
9,2,1,3,305,1.0,1.0,11129,1,1,1
9,6,0,4,407,,,11130,4,1,4
9,2,1,7,703,1.0,2.0,11131,5,1,5
5,3,2,5,511,1.0,1.0,11132,1,1,1
9,5,1,5,511,1.0,2.0,11133,3,1,3
9,4,0,3,300,1.0,1.0,11134,1,1,1
5,6,0,3,305,1.0,1.0,11135,2,1,2
5,5,1,6,601,1.0,2.0,11136,4,1,4
9,3,2,5,511,1.0,1.0,11137,3,1,3
5,5,2,5,511,1.0,1.0,11138,2,1,2
9,3,4,4,407,1.0,1.0,11139,2,1,2
9,6,0,4,408,,,11140,4,1,4
9,6,0,6,602,1.0,1.0,11141,2,1,2
9,5,1,6,602,1.0,2.0,11142,2,1,2
9,6,0,5,511,1.0,2.0,11143,3,1,3
9,3,3,7,704,1.0,2.0,11144,1,1,1
9,3,2,6,603,1.0,2.0,11145,2,1,2
9,2,3,6,600,1.0,2.0,11146,1,1,1
9,6,0,5,511,1.0,1.0,11147,4,1,4
9,3,2,4,406,1.0,2.0,11148,2,1,2
9,5,1,5,511,1.0,1.0,11149,4,1,4
9,2,8,3,305,1.0,1.0,11150,1,1,1
9,6,0,5,511,1.0,1.0,11151,4,1,4
9,4,0,6,602,1.0,2.0,11152,3,1,3
1,2,3,4,406,1.0,2.0,11153,1,1,1
9,3,3,5,511,1.0,2.0,11154,2,1,2
9,6,0,4,407,1.0,1.0,11155,4,1,4
9,2,2,6,602,1.0,2.0,11156,2,1,2
5,6,0,4,408,1.0,1.0,11157,2,1,2
9,2,2,6,602,1.0,2.0,11158,2,1,2
9,6,0,7,703,1.0,2.0,11159,1,1,1
9,3,3,8,802,1.0,2.0,11160,2,1,2
1,2,3,3,303,1.0,1.0,11161,1,1,1
5,5,3,5,511,1.0,2.0,11162,2,1,2
9,3,6,3,305,1.0,1.0,11163,1,1,1
9,5,2,5,511,1.0,1.0,11164,3,1,3
5,1,1,4,407,1.0,2.0,11165,7,1,7
9,6,0,4,408,,,11166,3,1,3
9,5,0,8,801,1.0,1.0,11167,2,1,2
9,2,2,3,305,1.0,2.0,11168,2,1,2
9,5,3,5,511,1.0,2.0,11169,1,1,1
9,5,3,1,100,1.0,2.0,11170,1,1,1
9,3,2,7,705,1.0,2.0,11171,2,1,2
9,6,0,5,511,1.0,1.0,11172,1,1,1
9,2,1,5,511,1.0,2.0,11173,2,1,2
5,3,2,3,303,1.0,2.0,11174,2,1,2
9,5,2,5,511,1.0,2.0,11175,1,1,1
9,6,0,6,602,1.0,1.0,11176,4,1,4
9,4,2,5,511,1.0,2.0,11177,1,1,1
9,3,2,5,511,1.0,1.0,11178,1,1,1
9,1,2,5,511,1.0,2.0,11180,2,1,2
9,3,1,6,602,1.0,2.0,11181,2,1,2
9,2,2,6,603,1.0,1.0,11182,1,1,1
9,6,0,6,601,1.0,1.0,11183,2,1,2
9,6,0,6,602,1.0,2.0,11184,3,1,3
9,6,0,7,705,1.0,1.0,11185,1,1,1
9,6,0,3,305,,,11186,3,1,3
9,2,2,4,408,1.0,2.0,11187,1,1,1
9,3,2,7,705,1.0,2.0,11188,2,1,2
9,6,0,7,705,1.0,1.0,11189,1,1,1
9,2,3,4,406,1.0,1.0,11190,2,1,2
9,6,0,6,602,1.0,1.0,11191,2,1,2
9,6,0,6,602,1.0,2.0,11192,3,1,3
1,6,1,8,804,1.0,2.0,11193,3,1,3
9,2,2,3,302,1.0,2.0,11194,2,1,2
9,2,1,4,409,1.0,2.0,11195,2,1,2
9,2,0,6,601,1.0,1.0,11196,1,1,1
9,5,1,7,702,1.0,2.0,11197,3,1,3
9,6,0,5,510,1.0,1.0,11198,4,1,4
9,5,1,6,603,1.0,1.0,11199,1,1,1
9,5,2,5,511,1.0,1.0,11200,3,1,3
9,2,0,4,406,1.0,1.0,11201,1,1,1
5,2,1,6,602,1.0,2.0,11202,4,1,4
9,3,2,7,705,1.0,2.0,11203,2,1,2
9,5,2,5,511,1.0,2.0,11204,2,1,2
9,3,1,6,602,1.0,2.0,11205,2,1,2
9,2,3,4,408,1.0,2.0,11206,5,1,5
9,6,0,5,511,1.0,1.0,11207,3,1,3
9,5,3,3,302,1.0,2.0,11208,1,1,1
1,2,2,5,511,1.0,1.0,11209,1,1,1
9,3,1,6,603,1.0,2.0,11210,2,1,2
