d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
9,2,2,5,511,1.0,2.0,134,2,1,2
9,2,3,3,305,1.0,1.0,135,1,1,1
5,2,2,5,510,1.0,2.0,136,2,1,2
9,3,2,6,600,1.0,1.0,137,2,1,2
9,5,2,7,705,1.0,2.0,138,2,1,2
9,6,0,7,702,1.0,2.0,139,3,1,3
9,6,0,7,702,3.0,2.0,140,1,1,1
9,3,3,5,511,1.0,2.0,141,1,1,1
5,6,2,7,705,1.0,2.0,142,1,1,1
9,2,3,4,400,1.0,1.0,144,1,1,1
9,6,0,6,602,1.0,1.0,146,2,1,2
9,3,1,8,802,1.0,1.0,147,1,1,1
9,2,0,7,705,1.0,1.0,148,1,1,1
9,1,1,6,600,1.0,2.0,149,1,1,1
9,1,2,5,511,1.0,1.0,150,2,1,2
5,6,7,3,305,1.0,1.0,151,1,1,1
4,3,4,3,300,1.0,1.0,152,1,1,1
9,2,2,5,513,1.0,2.0,153,2,1,2
9,6,1,8,801,1.0,2.0,154,1,1,1
9,6,0,3,305,,,155,3,1,3
9,2,1,5,511,1.0,1.0,156,1,1,1
9,3,2,8,805,1.0,2.0,157,2,1,2
5,6,0,5,511,1.0,1.0,158,1,1,1
9,6,0,3,300,,,159,2,1,2
9,6,0,7,703,1.0,1.0,160,1,1,1
9,3,1,7,704,1.0,2.0,161,1,1,1
9,4,5,5,510,1.0,2.0,162,1,1,1
9,6,0,7,705,1.0,1.0,163,3,1,3
9,2,2,5,511,1.0,1.0,164,1,1,1
5,6,0,5,510,,,165,3,1,3
9,6,0,7,706,1.0,2.0,166,1,1,1
9,6,2,6,602,1.0,1.0,167,3,1,3
9,3,0,8,801,1.0,2.0,168,2,1,2
9,6,0,8,803,1.0,1.0,170,1,1,1
9,2,1,6,602,1.0,2.0,172,2,1,2
9,3,2,8,801,1.0,1.0,173,1,1,1
9,6,3,4,404,1.0,2.0,174,1,1,1
9,3,2,4,400,1.0,1.0,175,1,1,1
5,6,1,7,702,1.0,2.0,176,2,1,2
1,2,3,5,510,1.0,2.0,177,1,1,1
1,3,3,5,510,1.0,2.0,178,2,1,2
9,3,6,7,705,1.0,1.0,179,2,1,2
1,3,1,6,600,1.0,2.0,180,1,1,1
9,2,3,6,600,1.0,1.0,181,1,1,1
5,6,0,7,705,1.0,1.0,182,1,1,1
9,3,2,4,406,1.0,2.0,183,2,1,2
9,6,0,5,510,,,184,4,1,4
9,3,1,7,705,1.0,2.0,185,2,1,2
5,3,3,3,300,1.0,2.0,186,1,1,1
9,5,2,6,602,1.0,2.0,187,2,1,2
9,2,4,6,600,1.0,2.0,188,2,1,2
9,2,3,3,300,1.0,2.0,189,1,1,1
9,6,0,6,601,1.0,2.0,190,3,1,3
9,6,0,4,409,1.0,1.0,191,1,1,1
9,2,1,5,511,1.0,1.0,192,1,1,1
9,6,0,3,305,,,194,3,1,3
9,2,6,4,407,1.0,1.0,195,1,1,1
9,2,0,8,802,1.0,2.0,196,1,1,1
9,6,0,8,802,1.0,1.0,197,1,1,1
9,2,0,7,707,1.0,1.0,198,2,1,2
9,6,0,4,400,,,199,3,1,3
5,4,2,4,404,1.0,2.0,201,1,1,1
1,1,4,3,305,1.0,2.0,202,1,1,1
9,3,3,6,602,1.0,2.0,204,2,1,2
9,3,2,5,511,1.0,2.0,205,2,1,2
9,3,2,6,602,1.0,2.0,206,2,1,2
9,6,0,4,406,,,207,3,1,3
1,2,1,5,510,1.0,1.0,209,2,1,2
9,5,2,5,511,1.0,2.0,210,3,1,3
9,3,6,3,305,1.0,1.0,211,1,1,1
5,3,2,5,513,1.0,2.0,212,2,1,2
5,3,4,6,602,1.0,2.0,213,2,1,2
9,2,2,5,511,1.0,2.0,214,2,1,2
9,3,2,3,305,1.0,2.0,215,2,1,2
9,6,0,5,511,1.0,1.0,216,1,1,1
9,6,0,6,601,1.0,2.0,217,3,1,3
5,3,0,5,510,1.0,2.0,218,2,1,2
9,5,1,7,705,1.0,2.0,219,1,1,1
9,6,0,4,408,1.0,1.0,220,3,1,3
9,3,2,7,705,1.0,2.0,221,1,1,1
9,3,3,7,707,1.0,2.0,222,2,1,2
9,3,2,8,802,1.0,2.0,223,2,1,2
9,6,2,4,406,1.0,2.0,224,2,1,2
9,3,6,5,512,1.0,2.0,225,2,1,2
9,6,0,7,700,1.0,2.0,226,2,1,2
9,6,0,7,703,1.0,2.0,227,8,1,8
9,6,5,5,511,1.0,2.0,228,1,1,1
9,6,0,4,409,1.0,2.0,229,4,1,4
9,3,4,6,602,1.0,2.0,230,2,1,2
5,6,1,7,705,1.0,1.0,231,1,1,1
9,3,3,4,409,1.0,2.0,232,2,1,2
9,3,3,5,511,1.0,2.0,233,2,1,2
9,5,1,6,600,1.0,2.0,234,3,1,3
9,6,0,8,801,1.0,2.0,235,1,1,1
9,3,4,4,409,1.0,2.0,236,2,1,2
1,2,2,7,705,1.0,1.0,237,1,1,1
9,6,0,7,702,1.0,1.0,238,1,1,1
9,6,0,5,511,1.0,1.0,239,4,1,4
1,6,2,5,511,1.0,1.0,241,1,1,1
9,3,1,7,705,1.0,2.0,242,2,1,2
9,2,3,5,510,1.0,1.0,243,1,1,1
9,1,1,4,409,1.0,2.0,245,1,1,1
9,1,3,4,409,1.0,1.0,246,1,1,1
5,5,2,7,705,1.0,2.0,247,3,1,3
9,6,1,6,602,1.0,1.0,249,1,1,1
9,2,2,3,305,1.0,1.0,250,1,1,1
9,6,0,6,602,1.0,1.0,252,1,1,1
9,3,3,7,702,1.0,2.0,253,2,1,2
9,3,1,3,305,1.0,1.0,254,1,1,1
9,6,0,3,304,,,255,4,1,4
5,6,3,4,407,1.0,1.0,256,1,1,1
9,1,0,4,407,1.0,2.0,257,4,1,4
9,6,0,4,409,1.0,1.0,258,4,1,4
9,3,1,7,704,1.0,1.0,259,1,1,1
9,6,0,7,705,1.0,1.0,260,1,1,1
9,6,0,8,801,1.0,2.0,262,1,1,1
9,5,2,5,511,1.0,2.0,263,1,1,1
