Datos del Grupo Serie: Producto Interno Bruto (PIB),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024,30/06/2024,30/09/2024,31/12/2024,31/03/2025,30/06/2025,30/09/2025
Serie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIB reportado,126088.657004122,128906.47467842,128611.837070203,130951.9474299,134141.090705285,136018.557169591,138621.260292844,140654.09183228,143181.28692357,145170.870677165,148142.36849099,149962.473908275,150565.223757871,151303.701523002,153275.795868515,150568.278850612,150948.413266061,152619.586951014,153929.381012755,155118.61877017,156710.824436737,159366.089616935,160351.579587891,163722.506358437,167189.404302275,169848.91127565,173174.612727413,174415.071694661,176300.254005259,178306.977633074,177313.363667476,179494.404694191,182542.199958008,186706.351648811,187959.878319541,190730.570073641,193493.504732212,194189.95213735,195930.269362601,197975.273767835,198990.540851869,200874.168654235,202627.949224262,202199.341269634,203965.259204595,204589.415505424,205828.676601893,207105.648688087,206560.221198622,207878.738460037,208585.53926164,209631.501079701,211237.132965634,212387.281552685,214529.62714377,215853.958337911,217540.338009036,219874.672991215,221140.5769207,222668.412079049,217261.969994994,183534.211132297,201547.98005897,215555.838813739,222083.125661423,217002.608161282,228192.540710481,238964.725466814,239985.253707452,243362.55920214,245265.202474202,244041.984616206,245972.292896131,244376.447097344,243806.160637281,245429.099369244,246414.508167366,247903.206563566,248950.455154657,251972.343412039,253122.063565778,254197.066975374,257342.264009872
1.01. Demanda Interna,121196.992673356,125032.134436381,123316.238840369,131749.95404373,131459.59004756,134564.597575103,137680.204933707,139933.607443631,143684.641545868,146272.180410424,148546.936345912,150385.241697796,152635.829034478,153321.48141057,156248.827806642,157951.86174831,154512.605445127,154315.502880552,155148.894721914,157755.996952408,160642.324106193,163239.498858344,165614.678569241,169820.498466222,173390.721633504,176920.015560612,181199.534022732,183435.72878315,185643.602348627,187532.782494755,186671.838662085,190119.776494533,193384.368275902,198314.958217567,200361.666238548,202076.007267984,206609.694189526,209732.813017504,208785.779577402,216552.713215568,212099.174243515,214345.621885488,217556.67472411,217504.529146888,218374.370248337,216621.951364038,217992.459787588,219106.218600036,220279.78332754,219890.580082547,220793.291450148,220934.345139766,223930.174969595,227767.722499143,228918.697052194,231824.405479068,234130.368117554,236561.911728044,239790.015583959,238652.704570445,235063.831766373,194168.174241466,216435.640609422,231892.353382739,238867.674645947,241653.657856342,252557.200136645,261837.467361068,269689.991018265,274247.691202315,278439.624925209,274535.692854211,272966.113569389,268073.103152564,263354.65513221,265270.128145837,267331.019198916,272448.981411854,274347.85005026,277328.092066174,279784.588672854,283444.59697831,288127.198412061
1.02. Gasto de consumo final,102792.864075819,104798.696112809,104980.964321478,106472.976126359,108783.669371303,110836.475340042,112001.09618902,113321.759099635,115251.054168436,116950.999432369,119568.233988819,120820.712410375,121458.371549441,122448.452544252,123692.748736281,124907.427170026,124757.036377634,125420.07192526,126101.290252648,127137.601444457,129698.402016448,131191.712174305,133210.963146966,134900.922662281,135816.437345971,139384.79115036,140729.90936251,143061.862141159,144949.774641936,146474.511947193,148353.360063857,149916.353347014,152340.698766461,154868.887653726,155932.47018875,158123.943391063,159736.032103743,160986.982417745,162184.199850006,165226.785628507,166195.632225065,167537.945229731,170324.751573793,166142.67097141,169241.236380928,169849.93837578,170435.807946191,171574.0172971,172170.180317898,173869.109405766,175054.87164119,175878.838635147,178785.035304879,180667.738878581,181845.389222112,183349.836594428,185187.983789007,187762.252359381,189903.169568228,192902.594283385,192354.750095169,160824.811428657,175760.701932819,194967.736543355,199564.032250188,195922.952610528,208219.80373901,219856.211400274,222461.18855192,225152.724591638,225555.190501832,224657.896354611,226346.509448332,225855.595193065,225734.25096296,224999.644395644,226205.7753593,229193.469181838,228112.942920895,232451.093688891,235111.996601268,237822.506928947,240988.050305269
"1.02.01. Gasto de consumo final individual de los
hogares; gasto de consumo final de las ISFLH",85371.8805598513,86938.7789353547,87279.1177813993,88014.9102605471,89395.9202242925,91312.6931587187,92172.7007192002,93384.6858977887,95320.3499935268,96579.8777695987,98248.6547438987,99239.117492976,99799.0713222661,100444.672869151,101974.08572643,102949.170082152,102439.865235894,102813.897018962,103094.592370927,104042.645374218,106105.415672064,107088.80612637,108841.140251071,110193.637950495,110858.314415161,113673.729442477,114614.804346281,116383.151796082,118203.997087565,119857.107791553,120971.803460185,121673.091660696,123972.944890217,125709.15852709,126032.41207338,127273.484509314,129090.54093637,130349.421725084,131362.607349291,133839.429989256,133978.964765631,135120.768090225,136973.345737521,137292.921406622,137334.189687501,137325.650940632,138283.860949432,139715.298422436,139967.541253083,140828.94523468,142032.411276127,142707.102236109,144733.154073189,145749.623861521,146154.341617177,146412.880448113,149054.986155751,150682.73239806,152502.052504288,154402.228941901,156413.427381047,127130.298220067,140695.727431689,155948.546967198,160490.800716302,156772.820517433,167049.810743348,177019.568022918,179656.277077741,183463.057742928,185569.12613138,186185.539047953,185251.928045993,184665.460981768,184036.566270482,184521.044701757,184768.203365576,186345.569882594,187833.908878484,189748.401609149,193199.424462241,193072.3603139,195288.389989488
"1.02.02. Gasto de consumo final del gobierno
general",17739.4449221091,17907.275823914,17536.8539628727,17235.1994717757,18494.7175499334,18301.8476132487,18541.1851468276,18706.2496899903,18780.6698737626,18891.6179004072,19752.9217150089,20001.7905108213,20255.2975041816,20348.2122196904,20093.9224761329,20366.567799995,20697.1433108335,21090.1914104198,21535.3317842365,21602.3334945102,21881.6773832667,22198.4119080454,22475.0066032535,22807.9041054345,23085.1166667373,23739.7403088361,24073.2661606392,24252.8768637874,24635.8477978912,24504.829550629,24849.3976095418,25734.9250419382,25899.6810376579,26810.2623221769,27457.4908841366,28428.5657560285,28423.3660023528,27960.9094793978,28168.7115890205,29121.0129292289,30145.9208372115,30091.375032557,31228.9664931812,27721.7376370503,30391.9865225487,30472.054299227,30239.0588506875,30258.9003275368,30840.8320321322,31370.9094379838,31613.9758148024,31957.2827150814,32816.61329384,33575.6951617334,34103.7798748706,34533.9116695559,34737.5053414122,35621.6441439935,35805.3992090741,35987.4513055203,34920.7190589607,34788.5605388314,34824.6149024858,36537.1054997221,38017.1751278032,37892.0905316451,39354.4798864247,39658.2544541271,40671.9450522766,40705.2620898195,37923.7620802526,37151.0307776514,39514.9215600883,40141.691160434,39651.8593418576,39590.5279376202,40389.5712061871,40884.2142272414,37527.17590002,41172.6956644508,41318.7465069937,42644.1637349778,43227.1219941889
1.03. Formación bruta de capital,19696.5071643831,21362.8982050226,20103.8580070624,25487.4896111505,23582.8129404493,24625.7758136019,26196.1967733822,27000.2144725667,28712.3374498007,29524.565725923,29268.7578132374,29918.3390110389,31125.3043182102,31193.7184533695,32458.5785243832,33312.3987040371,30281.1589293505,29642.5877798794,29698.0565614547,30404.1967293155,31338.1339407948,32463.7103812928,32699.3497073195,35001.8059705929,37316.8971680843,37667.5070806275,40057.0553590138,40810.5403922744,40335.5219686653,41279.1113836671,39109.1377695186,39627.228878149,41340.5811067869,43743.1517489726,45194.6034225821,42590.6637216585,46886.5330344983,48567.4688533974,47533.1204660634,50545.877646041,45827.8243070462,46569.3636925338,48115.035719756,50792.7762806639,48794.560050538,46996.4731550885,48256.0094566791,46946.9573376946,48379.1960300711,46302.6920674591,45985.3958733603,44160.7160291095,45208.598598807,46841.4226214661,46340.3824202013,49217.5963595257,48956.5228611513,48340.0862983845,49005.7329084518,46844.6579320124,43463.5043316485,33277.9700576699,40451.7354276346,36009.7901830469,41028.2949529102,44358.7497309483,43898.5455605865,41637.4097555549,47796.5719870799,47536.5407438919,51452.3441372896,51558.5431317385,47194.1805228034,41795.0314014499,38027.8564986956,39553.9315770513,41451.9601123938,43470.8202852856,45196.4832788349,45163.2055786084,45114.2267587731,46010.104818203,46222.1079287198
1.03.01. Formación bruta de capital fijo,22713.930276208,20569.5617698667,20554.9069843108,22053.9131085835,24304.0910319998,24243.5265168934,25814.1386851258,27708.243765981,30798.5697285663,30348.1534700821,30623.8719070243,30602.4048943272,29471.7213234569,29974.5057379988,29740.8936378816,29862.8793006628,30831.4763330803,31068.9281567099,31662.822588615,30790.7729215948,31639.5873203006,33249.5086428405,33078.0833998272,35221.8206370317,35971.0309680732,36518.5113178528,38281.7512487607,38682.7064653132,37577.7789675121,39090.1016033357,39063.4162081239,38705.7032210283,41252.5606586523,41116.4305396243,40617.461444279,44546.5473574444,44713.2539902998,45223.256815598,46306.875705334,46713.6134887681,47054.6797373294,47674.1578346023,47927.4793291489,45438.6830989194,45160.5313897054,45732.586680668,44747.316074292,47018.5658553345,45990.114058152,46028.5478779201,47046.1484046744,46981.1896592535,45087.0024804106,47397.0112486299,47686.8515898808,47804.1346810787,48502.0743221693,49264.2895402849,48601.6612248703,45810.9749126755,42373.0714051107,28920.5138471109,36524.469442843,38964.9453049354,43593.9853236596,41158.6764274691,42108.4479746418,44428.8902742296,47777.0598244959,46922.8136494253,48012.7696119163,48272.3569141625,44840.0991599142,41777.3600816992,40601.155614598,39488.3851437887,42003.7799025465,42314.4797578611,42687.8757945438,44963.432997753,42205.5844974156,43834.2415096714,44673.7658811808
1.04. Exportaciones,21334.3531844244,22346.5019495616,22423.9473449951,21911.9136521957,23324.6142758688,24178.3377773061,24257.195791331,24752.8521554941,23672.7996778275,24450.6885150634,26341.2559696917,28051.2558374176,27455.935712385,26582.3206814066,26414.3780200275,24151.3655861809,25071.9807349718,24546.0101418461,24588.2460119139,24951.7631112683,24689.8917699999,25675.0726272937,25229.1031452165,25608.9324574899,27794.2636272117,28566.1480955597,28369.4705704385,28878.1177067902,30085.3176594832,29213.2517246808,30413.9049593443,28977.5256564917,29986.3494305302,31031.7586045775,30822.001346037,32400.8906188555,30952.401936234,30937.0164328445,31824.8125356168,30167.7690953047,31195.9050636579,32873.1694192273,30929.21647735,30937.7090397648,31585.6959967067,30674.0733501613,31225.7451500528,32187.4855030793,31885.398634972,32433.715519408,32295.1711455755,32287.7147000445,31989.1324627809,31708.1599621786,32668.4350178894,33364.2725571511,33395.4201911929,34654.189444089,33341.1499163072,32340.2404484109,31139.6819623416,24150.0824196986,23885.618427685,24520.6171902749,28088.1624878901,27413.9763857284,30044.4608370438,33324.4002893376,32675.8356678681,34050.2131858998,34228.5062807593,32728.4448654728,33550.0104976385,34484.5483814658,34400.3292922457,35365.11182865,35145.9713215828,34975.2690270053,35155.8750627384,36033.0314332805,35265.4685541179,35454.0916326067,35984.5974125502
